name,niche,before,after,quote,img,url
Имя 1,ниша,точка А,точка Б,цитата из поста,photos/review_01.jpg,https://www.instagram.com/p/C7RfvDeIJPK/
Имя 2,ниша,точка А,точка Б,цитата из поста,photos/review_02.jpg,https://www.instagram.com/p/C7qiR1Ls_Ab/
Имя 3,ниша,точка А,точка Б,цитата из поста,photos/review_03.jpg,https://www.instagram.com/p/C719hKAsDs7/
Имя 4,ниша,точка А,точка Б,цитата из поста,photos/review_04.jpg,https://www.instagram.com/p/C8UaOJ4MXNZ/
Имя 5,ниша,точка А,точка Б,цитата из поста,photos/review_05.jpg,https://www.instagram.com/p/CgA5V8AvzvZ/
Имя 6,ниша,точка А,точка Б,цитата из поста,photos/review_06.jpg,https://www.instagram.com/p/CXfYyVXPFWW/
Имя 7,ниша,точка А,точка Б,цитата из поста,photos/review_07.jpg,https://www.instagram.com/p/CXNM5G9P6nh/
Имя 8,ниша,точка А,точка Б,цитата из поста,photos/review_08.jpg,https://www.instagram.com/p/CWX5RR5vX_q/
Имя 9,ниша,точка А,точка Б,цитата из поста,photos/review_09.jpg,https://www.instagram.com/p/CV0CHFcv_JN/
Имя 10,ниша,точка А,точка Б,цитата из поста,photos/review_10.jpg,https://www.instagram.com/p/CViYawEPEt7/
Имя 11,ниша,точка А,точка Б,цитата из поста,photos/review_11.jpg,https://www.instagram.com/p/CUPT3gYsncW/
Имя 12,ниша,точка А,точка Б,цитата из поста,photos/review_12.jpg,https://www.instagram.com/p/CT3gaiCq8Bl/
Имя 13,ниша,точка А,точка Б,цитата из поста,photos/review_13.jpg,https://www.instagram.com/p/CTi-m84q5O4/
Имя 14,ниша,точка А,точка Б,цитата из поста,photos/review_14.jpg,https://www.instagram.com/p/CTMeXgHsVxj/
